StartDate,EndDate,Duration..in.seconds.,RecordedDate,ResponseId,consent,inputstate,state_timing_First.Click,state_timing_Last.Click,state_timing_Page.Submit,state_timing_Click.Count,votereg,votereg_timing_First.Click,votereg_timing_Last.Click,votereg_timing_Page.Submit,votereg_timing_Click.Count,year_born,birthyr_timing_First.Click,birthyr_timing_Last.Click,birthyr_timing_Page.Submit,birthyr_timing_Click.Count,marstat,marstat_timing_First.Click,marstat_timing_Last.Click,marstat_timing_Page.Submit,marstat_timing_Click.Count,child,child_timing_First.Click,child_timing_Last.Click,child_timing_Page.Submit,child_timing_Click.Count,religpew,religpew_timing_First.Click,religpew_timing_Last.Click,religpew_timing_Page.Submit,religpew_timing_Click.Count,pew_bornagain,bornagain_timing_First.Click,bornagain_timing_Last.Click,bornagain_timing_Page.Submit,bornagain_timing_Click.Count,employ,employ_timing_First.Click,employ_timing_Last.Click,employ_timing_Page.Submit,employ_timing_Click.Count,ownhome,ownhome_3_TEXT,Q69_First.Click,Q69_Last.Click,Q69_Page.Submit,Q69_Click.Count,attention.check,D_open,R_open,urbancity,GrowUp,RuralResImportance,RuralSelfConcept,RuralWeThey,way_of_life_1,way_of_life_2,way_of_life_3,pid3,dem_strength,rep_strength,ind_lean,ideo5,presvote20_post,intent,gcb2022,gcb2022_3_TEXT,gcb2022_voted,gcb2022_voted_3_TEXT,gcb_2022lean,newsint,mostimpt,abortion_vote,abortion_passage,abortion_support,baker_fave_1,baker_qualified,baker_trust,baker_party,mitchell_fave_1,mitchell_ideology,mitchell_donation_1,mitchell_vote,mitchell_biglie,mitchell_tariffs,rate_economy,inflation_household,biden_inflation,biden_responsible,urban_grid_1,urban_grid_2,urban_grid_3,C1P_1,C2P_1,C1N_1,C2N_1,Grid.Question_1,Grid.Question_2,Grid.Question_3,Grid.Question_4,Grid.Question_5,Grid.Question_6,Grid.Question_7,policinggrid_timing_First.Click,policinggrid_timing_Last.Click,policinggrid_timing_Page.Submit,policinggrid_timing_Click.Count,instruction_timing_First.Click,instruction_timing_Last.Click,instruction_timing_Page.Submit,instruction_timing_Click.Count,mand_min,mandmin_timing_First.Click,mandmin_timing_Last.Click,mandmin_timing_Page.Submit,mandmin_timing_Click.Count,bodycam,bodycam_timing_First.Click,bodycam_timing_Last.Click,bodycam_timing_Page.Submit,bodycam_timing_Click.Count,increasefunds,increase_timing_First.Click,increase_timing_Last.Click,increase_timing_Page.Submit,increase_timing_Click.Count,decreasefunds,decrease_timing_First.Click,decrease_timing_Last.Click,decrease_timing_Page.Submit,decrease_timing_Click.Count,chokeholds,chokeholds_timing_First.Click,chokeholds_timing_Last.Click,chokeholds_timing_Page.Submit,chokeholds_timing_Click.Count,registry,registry_timing_First.Click,registry_timing_Last.Click,registry_timing_Page.Submit,registry_timing_Click.Count,surplus,surplus_timing_First.Click,surplus_timing_Last.Click,surplus_timing_Page.Submit,surplus_timing_Click.Count,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,urbanrand,abortion,baker,bakerpronoun,family,conventional,endorsement,inflation,urban,partyprime,Name1,Gender1,Name2,Gender2,LastName1,LastName2,Age1,Age2,Race1,Race2,Party1,Party2,CampaignFocus1,CampaignFocus2,age_asked,nationalweight,Voted,lvweight
10/25/22 13:59,10/25/22 14:05,373,10/25/22 14:05,R_3fOZAA3pexJIS9v,1,5,0.757,2.566,3.485,3,1,1.467,1.467,3.596,1,1990,2.376,2.376,5.658,1,1,0.853,0.853,2.324,1,2,0.871,0.871,1.654,1,11,3.163,3.163,4.041,1,2,2.691,2.691,3.484,1,1,0.695,0.695,2.057,1,1,NA,0.606,0.606,1.616,1,3,good,bad,1,2,4,3,2,1,2,2,1,1,NA,NA,3,1,1,1,NA,NA,NA,NA,1,2,1,3,1,8,2,2,1,72,4,66,3,3,3,1,2,2,4,2,1,2,NA,NA,78,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.99,0,2,3.487,6.009,6.84,2,2,0.372,0.372,1.207,1,1,0.178,0.178,1.253,1,1,0.369,1.232,1.908,2,1,0.478,2.878,5.11,2,1,0.747,0.747,2.066,1,1,0.657,0.657,2.169,1,63583fdb-2ed7-81df-30de-e2dd6a71085e,32,1,20,1,1,4,1,4,90006,4,make abortion not available at all.,Mike,his,", a 40 year old man, is running for Congress.","Terry supports lowering taxes on wealthy individuals and large corporations, wants to limit the role of the federal government in the health insurance marketplace, and opposes a path to citizenship for undocumented immigrants.","Former President Trump has said, “I will NOT be endorsing Terry Mitchell for Congress!”",The following questions will ask for your views on issues related to the economy and inflation.,"“Owning a car costs the average person over $700,000 over their lifetime. This large cost is a much bigger burden for poor and working class families, with the poorest 10% of U.S. households spending 7.5 times as much of their income on vehicle costs compared to the richest 10%. The large cost increases wealth inequality and prevents economic mobility, disproportionately affecting women and people of color.”",1,Linda,Female,John,Male,Thompson,Harris,41,34,Hispanic,White,Democrat,Republican,Government policy has made it so that small town way of life has gotten harder and harder. My campaign wants to ensure that these communities are able to continue living as they always have.,Government policy has made it so that big city way of life has gotten harder and harder. My campaign wants to ensure that these communities are able to continue living as they always have.,32,1.017116887,0.902,0.917439432
10/25/22 14:00,10/25/22 14:05,310,10/25/22 14:05,R_1Kvjp8ebXQAJ1FS,1,34,0.438,0.438,3.816,1,1,1.638,1.638,2.282,1,1992,1.319,1.319,7.051,1,5,2.003,3.4,9.825,3,2,3.806,3.806,4.872,1,1,1.504,7.754,9.221,8,1,1.554,2.526,3.329,3,1,0.848,2.878,3.863,4,1,NA,13.39,15.151,16.493,2,3,NA,NA,1,1,5,1,1,1,1,1,2,NA,1,NA,1,2,1,2,NA,NA,NA,NA,1,3,1,4,1,8,1,1,2,94,1,97,5,5,5,4,1,2,4,2,3,4,NA,NA,95,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.45,0,1,0.698,0.698,1.312,1,1,0.345,0.345,1.025,1,1,0.633,0.633,1.346,1,1,0.485,0.485,1.009,1,1,5.593,6.063,6.874,2,1,0.583,0.583,1.506,1,1,0.524,0.524,1.323,1,63584023-457e-1350-6dd5-61cad71ea98b,30,1,1,2,1,2,10,2,28352,3,make abortion available in most cases.,Linda,her,", a 40 year old wife to her loving husband and mother of three children, is running for Congress.","Terry supports lowering taxes on wealthy individuals and large corporations, wants to limit the role of the federal government in the health insurance marketplace, and opposes a path to citizenship for undocumented immigrants.","Former President Trump has said, “I will NOT be endorsing Terry Mitchell for Congress!”","The following questions will ask for your views on issues related to the economy and inflation. For reference, when the Bureau of Labor Statistics reported its August update at the end of the summer, the year-on-year inflation rate was 8.3% — above the previous decade’s yearly average — meaning that over the previous year, prices had risen by an average of 8.3%.","“Owning a car costs the average person over $700,000 over their lifetime. This large cost is a much bigger burden for poor and working class families, with the poorest 10% of U.S. households spending 7.5 times as much of their income on vehicle costs compared to the richest 10%. The large cost increases wealth inequality and prevents economic mobility, disproportionately affecting women and people of color.”",2,Robert,Male,Linda,Female,Brown,Harris,48,59,White,White,Republican,Democrat,"Growing up in a small rural town has taught me the importance of community. As a politician, I will fight for places like the one I grew up in.","Big cities have not been fairly represented in the decision-making process at the national level. As a politician, I want to change that.",30,1.657634159,0.074,0.122664928
10/25/22 13:58,10/25/22 14:07,525,10/25/22 14:07,R_2wQCyIkJjG0WnCN,1,51,0.484,0.484,3.345,1,1,0.88,1.833,2.6,2,1995,0.326,0.326,2.856,1,5,0.939,1.35,2.948,2,1,1.013,1.013,1.755,1,11,1.273,3.359,4.298,4,2,1.137,1.137,1.851,1,4,1.806,5.931,6.484,7,1,NA,4.067,4.979,5.655,2,3,"I feel neutral,  somewhat support","I feel neutral,  somewhat approve",1,2,3,3,3,4,4,5,3,NA,NA,1,3,4,2,1,NA,NA,NA,NA,2,5,2,2,2,10,1,1,3,80,4,50,2,4,2,2,2,2,3,2,2,2,NA,NA,97,85,1,1,2,1,1,1,1,1.665,37.281,37.947,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63583ff4-110a-69d9-8120-508ddcdbc49c,27,1,2,3,1,1,4,2,54115,3,make abortion available in most cases.,Linda,her,", a 40 year old single woman, is running for Congress.","Terry supports raising taxes on wealthy individuals and large corporations, wants to expand the role of the federal government in the health insurance marketplace, and believes in a path to citizenship for undocumented immigrants.",NA,"The following questions will ask for your views on issues related to the economy and inflation. For reference, when the Bureau of Labor Statistics reported its August update at the end of the summer, the year-on-year inflation rate was 8.3% — above the previous decade’s yearly average — meaning that over the previous year, prices had risen by an average of 8.3%.","“By decreasing car usage and increasing housing density, we can improve our local economies. People who walk or bike by a store are 25% more likely to shop there than those who drive by. Bike lane construction in major US cities gave local businesses up to a 49% increase in retail sales. In total, the US could see an increase in over $100 billion in economic activity if our communities were walkable and bikeable”",1,Susan,Female,Mike,Male,Harris,Jones,48,48,Hispanic,White,Democrat,Republican,Government policy has made it so that small town way of life has gotten harder and harder. My campaign wants to ensure that these communities are able to continue living as they always have.,"As a politician, I want to focus more on my rural constituents by giving them the funding and attention they deserve to best represent their interests.",27,4.164667412,0.058,0.24155071
10/25/22 14:01,10/25/22 14:08,396,10/25/22 14:08,R_2w624jIiV0KMMDU,1,33,0.374,0.374,2.333,1,1,0.46,0.46,0.831,1,2002,0.183,0.183,3.301,1,5,0.986,1.807,2.744,3,2,1.068,1.068,1.837,1,2,1.089,3.394,3.768,5,2,1.105,1.105,2.01,1,8,0.707,2.009,2.781,4,2,NA,2.3,2.3,3.27,1,3,NA,NA,2,2,1,4,5,1,3,3,1,1,NA,NA,1,1,4,NA,NA,NA,NA,NA,1,2,4,1,3,9,1,1,1,34,7,1,1,5,1,4,1,2,1,5,5,2,80,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.441,0,1,4.58,4.58,5.319,1,1,3.179,3.179,3.538,1,2,3.684,3.684,4.088,1,1,2.829,2.829,3.168,1,2,2.665,2.945,2.961,2,1,4.355,4.355,4.808,1,1,2.629,2.629,3.5,1,63584066-09a3-52d0-260b-912e4b9d82f0,20,1,1,15,14,2,1,1,11213,2,make abortion not available in most cases.,Linda,her,", a 40 year old wife to her loving husband and mother of three children, is running for Congress.","Terry supports raising taxes on wealthy individuals and large corporations, wants to expand the role of the federal government in the health insurance marketplace, and believes in a path to citizenship for undocumented immigrants.","Former President Trump has said, “I will NOT be endorsing Terry Mitchell for Congress!”","The following questions will ask for your views on issues related to the economy and inflation. For reference, when the Bureau of Labor Statistics reported its August update at the end of the summer, the month-on-month inflation rate was 0.1% — below the previous decade’s monthly average — meaning that over the previous month, prices had risen by an average of 0.1%.","“Owning a car costs the average person over $700,000 over their lifetime. This large cost is a much bigger burden for poor and working class families, with the poorest 10% of U.S. households spending 7.5 times as much of their income on vehicle costs compared to the richest 10%. The large cost increases wealth inequality and prevents economic mobility, disproportionately affecting women and people of color.”",2,Linda,Female,Mike,Male,Johnson,Johnson,42,67,White,White,Democrat,Democrat,"As a politician, I want to focus more on my big city constituents by giving them the funding and attention they deserve to best represent their interests.","Rural areas have not been fairly represented in the decision-making process at the national level. As a politician, I want to change that.",20,0.90438205,0.12,0.108525846
10/25/22 14:01,10/25/22 14:08,414,10/25/22 14:08,R_2tofIkVWVEtaDuw,1,48,0.554,0.554,6.708,1,1,1.008,1.008,2.165,1,1993,0.369,0.369,2.97,1,5,3.165,3.863,5.068,2,2,0.858,8.511,9.598,5,12,0.991,4.185,5.459,3,2,3.079,3.079,4.352,1,1,1.71,2.192,3.564,2,1,NA,1.258,1.258,2.529,1,3,NA,NA,2,1,1,4,3,2,1,1,2,NA,2,NA,4,4,1,2,NA,NA,NA,NA,2,7,2,2,2,8,2,2,2,19,5,5,3,3,3,4,2,4,3,3,4,4,63,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.536,0,1,3.952,3.952,4.689,1,1,1.995,1.995,2.746,1,2,3.414,3.414,4.187,1,1,5.063,5.063,5.814,1,1,3.672,3.672,4.41,1,1,4.041,4.041,4.73,1,1,4.076,4.076,4.913,1,635840a0-93b2-d639-df10-7668011fc76e,29,1,9,1,1,2,9,3,24502,1,make abortion available in all cases.,Mike,his,", a 40 year old single man, is running for Congress.","Terry supports raising taxes on wealthy individuals and large corporations, wants to expand the role of the federal government in the health insurance marketplace, and believes in a path to citizenship for undocumented immigrants.","Former President Trump has said, “I will NOT be endorsing Terry Mitchell for Congress!”","The following questions will ask for your views on issues related to the economy and inflation. For reference, when the Bureau of Labor Statistics reported its August update at the end of the summer, the year-on-year inflation rate was 8.3% — above the previous decade’s yearly average — meaning that over the previous year, prices had risen by an average of 8.3%.","“By decreasing car usage and increasing housing density, we can improve our local economies. People who walk or bike by a store are 25% more likely to shop there than those who drive by. Bike lane construction in major US cities gave local businesses up to a 49% increase in retail sales. In total, the US could see an increase in over $100 billion in economic activity if our communities were walkable and bikeable”",2,Linda,Female,John,Male,Thompson,Jones,44,60,White,African American,Republican,Republican,"As a politician, I want to focus more on my rural constituents by giving them the funding and attention they deserve to best represent their interests.","Growing up in a small rural town has taught me the importance of community. Thinking about government resources, people in communities like mine have always received less than their fair share. It’s time to change that.",29,3.29156463,0.134,0.44106966
10/25/22 13:58,10/25/22 14:09,636,10/25/22 14:09,R_1MJKxDJLh0gaT5s,1,44,2.473,6.499,7.624,2,1,1.719,1.719,2.696,1,1995,1.049,1.049,5.121,1,5,3.988,3.988,5.207,1,2,1.044,1.044,2.094,1,12,2.9,2.9,4.485,1,2,2.621,2.621,3.926,1,4,13.142,13.142,14.707,1,2,NA,1.765,1.765,3.555,1,3,NA,NA,2,1,2,2,2,1,1,2,3,NA,NA,3,3,4,2,4,NA,NA,NA,4,2,5,2,3,1,6,4,2,3,64,5,20,4,3,3,2,2,1,3,2,3,1,70,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.029,0,1,0.871,0.871,9.762,1,1,1.47,1.47,4.469,1,1,1.346,1.346,9.56,1,2,1.7,1.7,30.691,1,1,30.594,30.594,32.097,1,1,7.786,7.786,10.874,1,2,8.852,14.17,15.249,2,63583f9d-9762-e090-651d-21e67f7513cd,27,1,1,2,1,1,7,3,37921,3,make abortion not available in most cases.,Mike,his,", a 40 year old husband to his loving wife and father of three children, is running for Congress.","Terry supports lowering taxes on wealthy individuals and large corporations, wants to limit the role of the federal government in the health insurance marketplace, and opposes a path to citizenship for undocumented immigrants.",NA,The following questions will ask for your views on issues related to the economy and inflation.,"“By decreasing car usage and increasing housing density, we can improve our local economies. People who walk or bike by a store are 25% more likely to shop there than those who drive by. Bike lane construction in major US cities gave local businesses up to a 49% increase in retail sales. In total, the US could see an increase in over $100 billion in economic activity if our communities were walkable and bikeable”",2,Susan,Female,Lisa,Female,Moore,Harris,65,57,Hispanic,White,Republican,Democrat,"Growing up in a small rural town has taught me the importance of community. As a politician, I will fight for places like the one I grew up in.","Growing up in a big city has taught me the importance of community. Thinking about government resources, people in communities like mine have always received less than their fair share. It’s time to change that.",27,1.850947729,0.064,0.118460655
10/25/22 14:01,10/25/22 14:09,439,10/25/22 14:09,R_rcqlkboMg2xCPW9,1,11,0.327,0.327,2.05,1,1,0.654,0.654,1.206,1,1980,0.294,0.294,4.061,1,5,1.256,2.125,3.43,3,1,0.863,0.863,1.818,1,1,1.033,1.565,3.535,2,1,7.456,8.357,10.71,2,1,0.929,2.745,5.223,4,2,NA,1.356,2.672,4.025,3,3,I’m not sure I don’t have an opinion either way,I’m not sure I don’t have an opinion either way,1,2,1,5,5,3,2,2,3,NA,NA,1,4,4,4,NA,NA,NA,NA,NA,3,6,3,5,3,4,5,5,3,50,4,55,3,4,3,5,3,5,2,5,5,5,24,48,NA,NA,1,1,2,1,1,1,1,1.36,39.084,39.955,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635840be-50a6-d699-f563-a14439879cd0,42,1,5,2,1,3,3,3,30337,4,make abortion available in most cases.,Mike,his,", a 40 year old single man, is running for Congress.","Terry supports raising taxes on wealthy individuals and large corporations, wants to expand the role of the federal government in the health insurance marketplace, and believes in a path to citizenship for undocumented immigrants.","Former President Trump has given Terry Mitchell his “complete and total endorsement!""","The following questions will ask for your views on issues related to the economy and inflation. For reference, when the Bureau of Labor Statistics reported its August update at the end of the summer, the year-on-year inflation rate was 8.3% — above the previous decade’s yearly average — meaning that over the previous year, prices had risen by an average of 8.3%.","“Owning a car costs the average person over $700,000 over their lifetime. This large cost is a much bigger burden for poor and working class families, with the poorest 10% of U.S. households spending 7.5 times as much of their income on vehicle costs compared to the richest 10%. The large cost increases wealth inequality and prevents economic mobility, disproportionately affecting women and people of color.”",1,Linda,Female,Susan,Female,Johnson,Davis,48,51,White,Hispanic,Democrat,Republican,"Growing up in a small rural town has taught me the importance of community. As a politician, I will fight for places like the one I grew up in.","Growing up in a small rural town has taught me the importance of community. As a politician, I will fight for places like the one I grew up in.",42,2.097026299,0.038,0.079686999
10/25/22 13:59,10/25/22 14:10,658,10/25/22 14:10,R_2ZVvbC29NfyLynu,1,6,22.893,23.923,25.626,2,1,0.516,0.516,0.868,1,1972,0.174,0.174,2.64,1,4,0.354,4.408,5.117,6,2,0.371,0.735,1.182,2,5,19.395,20.551,21.213,4,1,21.04,22.767,23.259,3,1,0.901,2.334,2.885,4,1,NA,0.976,0.976,1.537,1,3,"Correct, Positive","Narcissistic, Angry, Pushy",3,1,2,2,4,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,2,4,1,4,1,10,2,1,1,0,6,0,1,5,3,4,1,2,2,4,3,2,NA,NA,79,18,2,1,2,1,1,1,2,9.535,33.34,33.987,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63583fce-5d96-9e88-dbe3-5c1028afc52b,50,1,13,1,1,6,1,1,6479,3,make abortion available in most cases.,Linda,her,", a 40 year old wife to her loving husband and mother of three children, is running for Congress.","Terry supports raising taxes on wealthy individuals and large corporations, wants to expand the role of the federal government in the health insurance marketplace, and believes in a path to citizenship for undocumented immigrants.","Former President Trump has given Terry Mitchell his “complete and total endorsement!""","The following questions will ask for your views on issues related to the economy and inflation. For reference, when the Bureau of Labor Statistics reported its August update at the end of the summer, the year-on-year inflation rate was 8.3% — above the previous decade’s yearly average — meaning that over the previous year, prices had risen by an average of 8.3%.","“City planners should adopt a sustainable approach that increases density and non-car modes of transportation if we want to address the climate crisis. Transportation accounts for around 40% of carbon emissions in the US, and so policies that increase walking, biking, and public transit usage will decrease our carbon footprint.”",1,John,Male,John,Male,Williams,Moore,46,33,Hispanic,White,Democrat,Republican,Government policy has made it so that small town way of life has gotten harder and harder. My campaign wants to ensure that these communities are able to continue living as they always have.,"Growing up in a big city has taught me the importance of community. Thinking about government resources, people in communities like mine have always received less than their fair share. It’s time to change that.",50,0.406189779,0.972,0.394816465
10/25/22 14:00,10/25/22 14:11,643,10/25/22 14:11,R_3gT2mIpVzWJBQby,1,3,0.727,0.727,2.324,1,1,0.943,0.943,1.943,1,1980,0.623,0.623,2.931,1,1,0.847,0.847,1.691,1,1,1.14,1.14,1.635,1,1,2.101,4.243,5.018,2,1,1.184,1.184,1.635,1,9,4.516,6.939,7.371,3,2,NA,1.723,1.723,2.1,1,3,NA,NA,1,2,2,3,4,2,2,2,3,NA,NA,3,3,2,5,4,NA,NA,NA,4,2,6,3,5,4,5,5,5,3,60,6,60,4,3,3,4,2,4,4,2,5,5,48,50,NA,NA,1,1,1,2,1,1,2,11.662,78.62,80.242,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63584034-fa3f-8eba-4a86-d4d33dae4800,42,2,5,1,1,6,4,4,85301,2,make abortion not available at all.,Linda,her,", a 40 year old woman, is running for Congress.","Terry supports lowering taxes on wealthy individuals and large corporations, wants to limit the role of the federal government in the health insurance marketplace, and opposes a path to citizenship for undocumented immigrants.","Former President Trump has said, “I will NOT be endorsing Terry Mitchell for Congress!”","The following questions will ask for your views on issues related to the economy and inflation. For reference, when the Bureau of Labor Statistics reported its August update at the end of the summer, the month-on-month inflation rate was 0.1% — below the previous decade’s monthly average — meaning that over the previous month, prices had risen by an average of 0.1%.","“City planners should adopt a sustainable approach that increases density and non-car modes of transportation if we want to address the climate crisis. Transportation accounts for around 40% of carbon emissions in the US, and so policies that increase walking, biking, and public transit usage will decrease our carbon footprint.”",2,Mary,Female,David,Male,Davis,Jones,63,67,African American,Hispanic,Democrat,Democrat,"Rural areas have not been fairly represented in the decision-making process at the national level. As a politician, I want to change that.","Growing up in a small rural town has taught me the importance of community. Thinking about government resources, people in communities like mine have always received less than their fair share. It’s time to change that.",42,0.262726747,0.3,0.078818024
10/25/22 14:02,10/25/22 14:11,529,10/25/22 14:11,R_yD35PtubUwFkbRf,1,21,1.286,1.286,5.066,1,1,1.116,1.116,1.725,1,1961,0.742,0.742,4.356,1,4,1.054,2.144,2.854,3,1,2.067,2.067,2.728,1,5,2.121,2.926,4.094,3,2,3.322,3.322,3.887,1,5,2.599,3.678,4.707,3,1,NA,4.132,4.132,4.83,1,3,Doing more but not enough for the Americans,Not doing their job,2,2,3,3,3,2,2,2,1,2,NA,NA,3,4,1,1,NA,NA,NA,NA,2,4,4,5,3,9,2,1,1,77,4,55,3,4,3,3,1,4,3,1,2,2,NA,NA,100,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.952,3.952,3.97,1,1,4.746,4.746,5.536,1,1,2.807,2.807,3.711,1,1,3.016,3.016,4.319,1,2,5.646,5.646,6.326,1,1,2.612,2.612,3.14,1,1,3.51,3.51,4.152,1,2,4.955,4.955,5.492,1,635840d4-ab6e-8085-4dff-400248e4cd50,61,1,1,1,1,2,4,3,20653,4,make abortion not available in most cases.,Mike,his,", a 40 year old man, is running for Congress.","Terry supports raising taxes on wealthy individuals and large corporations, wants to expand the role of the federal government in the health insurance marketplace, and believes in a path to citizenship for undocumented immigrants.","Former President Trump has given Terry Mitchell his “complete and total endorsement!""","The following questions will ask for your views on issues related to the economy and inflation. For reference, when the Bureau of Labor Statistics reported its August update at the end of the summer, the year-on-year inflation rate was 8.3% — above the previous decade’s yearly average — meaning that over the previous year, prices had risen by an average of 8.3%.","“Owning a car costs the average person over $700,000 over their lifetime. This large cost is a much bigger burden for poor and working class families, with the poorest 10% of U.S. households spending 7.5 times as much of their income on vehicle costs compared to the richest 10%. The large cost increases wealth inequality and prevents economic mobility, disproportionately affecting women and people of color.”",1,Susan,Female,David,Male,Thompson,Johnson,57,67,African American,White,Republican,Democrat,"Growing up in a small rural town has taught me the importance of community. Thinking about government resources, people in communities like mine have always received less than their fair share. It’s time to change that.","Rural areas have not been fairly represented in the decision-making process at the national level. As a politician, I want to change that.",61,2.82695312,0.368,1.040318748
